CODESTUDIANTE,ESTP_FECHAINGRESO,CREDITOSAPROBADOS,UBICACION_SEMESTRAL,PROMEDIO_GENERAL,PROGRAMA,JORNADA,GENERO,FECHA_NACIMIENTO,CODIGOCIUDADR,CIUDADRESIDENCIA,ESTRATO,TIENE_SISBEN,INFE_VIVECONFAMILIA,INFE_SITUACIONPADRES,INFE_NUMEROFAMILIARES,INFE_NUMEROHERMANOS,INFE_POSICIONENHERMANOS,INFE_NUMMIEMBROSTRABAJA
136916,19/06/2021 5:12:10 p. m.,19,1,"3,37",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,13/12/2002 12:00:00 a. m.,68276,FLORIDABLANCA,1,1,1,VIVOS Y CONVIVEN,3,0,0,2
136919,19/06/2021 5:12:10 p. m.,19,1,"3,08",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,20/03/2003 12:00:00 a. m.,68547,PIEDECUESTA,2,1,1,VIVOS Y CONVIVEN,4,1,1,1
136918,19/06/2021 5:12:10 p. m.,21,2,"3,95",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,13/01/2002 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y SEPARADOS,3,5,3,2
136920,19/06/2021 5:12:10 p. m.,108,6,"3,73",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,27/07/2004 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y CONVIVEN,4,1,1,2
136913,19/06/2021 5:12:10 p. m.,104,6,"3,79",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,22/11/2001 12:00:00 a. m.,68001,BUCARAMANGA,3,1,1,VIVOS Y SEPARADOS,7,2,2,2
136917,19/06/2021 5:12:10 p. m.,108,6,"3,85",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,1/01/2004 12:00:00 a. m.,68307,GIRON,1,1,1,VIVOS Y SEPARADOS,4,2,1,1
136915,19/06/2021 5:12:10 p. m.,108,6,"4,35",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,23/02/2004 12:00:00 a. m.,68406,LEBRIJA,1,1,0,,,,,
136925,19/06/2021 5:12:11 p. m.,100,6,"3,97",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,9/12/2002 12:00:00 a. m.,68276,FLORIDABLANCA,,0,0,,,,,
136927,19/06/2021 5:12:11 p. m.,92,6,"3,78",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,7/05/2003 12:00:00 a. m.,68001,BUCARAMANGA,1,1,1,VIVOS Y SEPARADOS,3,2,3,1
136924,19/06/2021 5:12:11 p. m.,0,0,0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,20/01/1998 12:00:00 a. m.,68001,BUCARAMANGA,3,1,1,VIVOS Y CONVIVEN,4,1,,1
136923,19/06/2021 5:12:11 p. m.,106,6,"3,76",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,5/02/2004 12:00:00 a. m.,68001,BUCARAMANGA,2,1,1,VIVOS Y CONVIVEN,4,2,1,2
136926,19/06/2021 5:12:11 p. m.,104,6,"3,92",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,23/08/2003 12:00:00 a. m.,68547,PIEDECUESTA,3,1,1,VIVOS Y CONVIVEN,6,2,2,3
136933,19/06/2021 5:13:08 p. m.,87,5,"3,76",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,8/09/2001 12:00:00 a. m.,68276,FLORIDABLANCA,2,1,0,VIVOS Y CONVIVEN,3,0,,1
136932,19/06/2021 5:13:08 p. m.,73,4,"3,48",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,2/11/2002 12:00:00 a. m.,68307,GIRON,3,0,1,VIVOS Y CONVIVEN,4,1,1,2
136930,19/06/2021 5:13:08 p. m.,61,4,"3,78",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,17/09/2002 12:00:00 a. m.,68001,BUCARAMANGA,2,1,0,VIVOS Y SEPARADOS,5,2,1,2
136929,19/06/2021 5:13:08 p. m.,84,5,"3,72",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,5/06/2003 12:00:00 a. m.,68001,BUCARAMANGA,3,0,1,VIVOS Y SEPARADOS,5,3,2,1
136934,19/06/2021 5:13:08 p. m.,86,5,"3,75",TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,12/06/2003 12:00:00 a. m.,13688,SANTA ROSA DEL SUR,1,1,1,VIVOS Y SEPARADOS,5,7,6,3
